timestamp,sensor_index,humidity,temperature,pressure,pm2_5,humidity_error,temperature_error,pressure_error
2023-03-12,5582,48.468,41.648,979.151,7.508,,,
2023-03-24,5582,31.958,43.044,985.222,8.382,,,
2023-02-17,5582,33.755,26.688,991.826,2.7424999999999997,,,
2022-10-15,5582,43.462,50.872,976.412,1.3935,,,
2022-10-01,5582,36.458,72.632,990.794,4.0275,,,
2023-01-23,5582,46.959,30.793,983.588,16.9685,,,
2023-01-08,5582,39.236,24.062,991.913,42.3495,,,
2022-09-17,5582,52.106,80.556,979.143,13.716999999999999,,,
2023-01-06,5582,43.412,28.936,988.832,19.110500000000002,,,
2023-01-31,5582,30.295,12.037,994.929,4.441,,,
2022-12-29,5582,48.465,46.17,969.73,20.3545,,,
2022-10-27,5582,38.733,57.221,989.57,7.960500000000001,,,
2022-12-23,5582,36.971,1.07,986.176,0.4215,,,
2022-09-29,5582,33.473,63.673,995.921,0.9935,,,
2022-11-10,5582,56.423,67.968,975.455,11.564,,,
2022-09-20,5582,45.385,84.033,977.826,12.033999999999999,,,
2022-12-28,5582,45.384,40.193,966.177,9.2205,,,
2023-01-30,5582,31.688,11.431,998.963,3.033,,,
2023-01-02,5582,48.21,35.788,987.201,22.7805,,,
2022-12-31,5582,47.753,37.376,978.599,13.3205,,,
2023-01-12,5582,50.029,35.709,988.215,25.618499999999997,,,
2023-02-09,5582,47.739,41.172,981.528,18.6195,,,
2023-01-10,5582,47.694,38.285,978.557,59.7275,,,
2022-11-15,5582,49.144,43.446,991.316,17.293,,,
2023-03-14,5582,36.882,33.229,994.227,11.849,,,
2023-03-20,5582,37.44,43.129,981.266,5.01,,,
2023-01-03,5582,51.558,35.651,978.175,21.5415,,,
2022-12-12,5582,46.7,42.057,991.541,15.2625,,,
2022-10-21,5582,32.886,63.786,969.347,19.0195,,,
2023-03-28,5582,32.37,36.375,994.271,6.3165,,,
2022-11-27,5582,43.257,47.04,976.854,3.8755,,,
2023-02-15,5582,51.195,41.27,967.229,6.596500000000001,,,
2023-02-27,5582,44.995,42.884,966.082,10.861,,,
